,precision,recall,f1-score,support
LOW_FUEL,0.956268221574344,0.9939393939393939,0.9747399702823178,330.0
NORMAL,0.9916272788656313,0.996336499321574,0.9939763113367174,7370.0
REFUEL,0.9884216940889702,0.983030303030303,0.9857186265572775,1650.0
THEFT,0.994413407821229,0.9709090909090909,0.9825206991720331,1650.0
accuracy,0.9904545454545455,0.9904545454545455,0.9904545454545455,0.9904545454545455
macro avg,0.9826826505875436,0.9860538218000905,0.9842389018370865,11000.0
weighted avg,0.9905035887737332,0.9904545454545455,0.9904422265634669,11000.0
